,arterial_thromb,myocardial_infarct,pe,stroke,vte,dic
74,c0009818_consultation,c0009214_codeine,c0012373_diltiazem,c0012373_diltiazem,c0010692_cystitis_of_the_urinary_bladder,c0009170_cocaine
75,c0009924_contrast_media,c0009368_colon_structure_(body_structure),c0012621_body_fluid_discharge,c0012737_tissue_dissection,c0011065_cessation_of_life,c0009319_colitis
76,c0010055_coronary_artery_bypass_surgery,c0009758_conjunctiva,c0012813_diverticulitis,c0012833_dizziness,c0011135_defecation,c0009368_colon_structure_(body_structure)
77,c0010073_coronary_artery_vasospasm,c0010054_coronary_arteriosclerosis,c0012833_dizziness,c0013144_drowsiness,c0011164_abnormal_degeneration,c0009450_communicable_diseases
78,c0010286_creatine,c0010055_coronary_artery_bypass_surgery,c0013182_drug_allergy,c0013362_difficulty_articulating_speech,c0011168_swallowing_difficulty,c0009566_complication
79,c0010294_creatinine,c0010073_coronary_artery_vasospasm,c0013227_pharmaceutical_preparations,c0013362_dysarthria,c0011206_delirium,c0009676_confusion
80,c0010682_cystine,c0010200_coughing,c0013404_dyspnea,c0013604_edema,c0011382_dental_occlusion,c0009676_disorientation
81,c0010692_cystitis_of_the_urinary_bladder,c0010294_creatinine,c0013428_dysuria,c0013778_electric_countershock,c0011777_dexamethasone,c0009818_consultation
82,c0011079_debridement,c0010520_blue_discoloration_of_the_skin,c0013516_echocardiography,c0013819_electroencephalography,c0011980_respiratory_diaphragm,c0009938_contusions
83,c0011127_bedsore,c0010520_cyanosis,c0013687_effusion,c0013922_embolism,c0011991_diarrhea,c0010200_coughing
84,c0011175_dehydration,c0011127_bedsore,c0013922_embolism,c0014068_encephalomalacia,c0011991_diarrhoea,c0010294_creatinine
85,c0011206_delirium,c0011135_defecation,c0013990_pathological_accumulation_of_air_in_tissues,c0014118_endocarditis,c0012000_diastole,c0010592_cyclosporine
86,c0011382_dental_occlusion,c0011164_abnormal_degeneration,c0014118_endocarditis,c0014876_esophagus,c0012222_diffusion,c0011065_cessation_of_life
87,c0011991_diarrhea,c0011570_mental_depression,c0014876_esophagus,c0015028_ethmoid_sinus_structure,c0012373_diltiazem,c0011079_debridement
88,c0011991_diarrhoea,c0011581_depression,c0015028_ethmoid_sinus_structure,c0015392_eye,c0012813_diverticulitis,c0011168_swallowing_difficulty
89,c0012155_diet,c0011603_dermatitis,c0015230_exanthema,c0015801_structure_of_femoral_artery,c0012833_dizziness,c0011206_delirium
90,c0012265_digoxin,c0011849_diabetes_mellitus,c0015230_rash,c0016129_fingers,c0013144_drowsiness,c0011777_dexamethasone
91,c0012306_hydromorphone,"c0011854_diabetes_mellitus,_insulin-dependent",c0015252_removal_technique,c0016382_flushing,c0013303_duodenum,"c0011860_diabetes_mellitus,_non-insulin-dependent"
92,c0012359_pathological_dilatation,"c0011860_diabetes_mellitus,_non-insulin-dependent",c0015264_exertion,c0016733_frontal_lobe,c0013362_difficulty_articulating_speech,c0011860_diabetes_mellitus_type_ii
93,c0012373_diltiazem,c0011860_diabetes_mellitus_type_ii,c0015376_extravasation,c0018017_objective_(goal),c0013362_dysarthria,c0011900_diagnosis
94,c0012621_body_fluid_discharge,c0011880_diabetic_ketosis,c0015385_limb_structure,c0018099_gout,c0013428_dysuria,c0011980_respiratory_diaphragm
95,c0012737_tissue_dissection,c0012000_diastole,c0015672_fatigue,c0018670_head,c0013604_edema,c0011991_diarrhea
96,c0012813_diverticulitis,c0012359_pathological_dilatation,c0015733_feces,c0018681_headaches,c0013687_effusion,c0011991_diarrhoea
97,c0012833_dizziness,c0012634_disease,c0015809_femoral_vein,c0018792_heart_atrium,c0013819_electroencephalography,c0012359_pathological_dilatation
98,c0013144_drowsiness,c0012737_tissue_dissection,c0015811_femur,c0018794_heart_block,c0013922_embolism,c0012373_diltiazem
99,c0013428_dysuria,c0012797_diuresis,c0015846_fentanyl,c0018800_cardiomegaly,"c0013931_embolization,_therapeutic",c0012621_body_fluid_discharge
100,c0013687_effusion,c0012798_diuretics,c0015967_fever,c0018802_congestive_heart_failure,c0013990_pathological_accumulation_of_air_in_tissues,c0012963_dobutamine
101,c0013832_electrolytes,c0012813_diverticulitis,c0016277_fluconazole,c0018817_atrial_septal_defects,c0014591_nosebleed,c0013090_doxycycline
102,c0013990_pathological_accumulation_of_air_in_tissues,c0012963_dobutamine,c0016382_flushing,c0018817_atrial_septum_defect,c0014834_escherichia_coli,c0013103_drainage_procedure
103,c0014118_endocarditis,c0013030_dopamine,c0016658_bone_fracture,c0018920_cavernous_hemangioma,c0014876_esophagus,c0013119_medical_dressing
104,c0014834_escherichia_coli,c0013182_drug_allergy,c0016658_fracture,c0018944_hematoma,c0015252_removal_technique,c0013182_drug_allergy
105,c0015028_ethmoid_sinus_structure,c0013227_pharmaceutical_preparations,c0016663_pathologic_fracture,c0018965_blood_in_urine,c0015376_extravasation,c0013227_pharmaceutical_preparations
106,c0015252_removal_technique,c0013303_duodenum,c0016733_frontal_lobe,c0018965_hematuria,c0015392_eye,c0013303_duodenum
107,c0015376_extravasation,c0013404_dyspnea,c0016911_gadolinium,c0018989_hemiparesis,c0015733_feces,c0013404_dyspnea
108,c0015385_limb_structure,c0013516_echocardiography,c0017168_gastroesophageal_reflux_disease,c0018989_weakness_of_one_side_of_body,c0015809_femoral_vein,c0013428_dysuria
109,c0015399_eye_drop,c0013604_edema,c0017725_glucose,c0019080_hemorrhage,c0015846_fentanyl,c0013491_ecchymoses
110,c0015672_fatigue,c0013687_effusion,c0017979_glycosuria,c0019270_hernia,c0015967_fever,c0013604_edema
111,c0015733_feces,c0013778_electric_countershock,c0018017_objective_(goal),c0019270_hernias,c0016129_fingers,c0013687_effusion
112,c0015801_structure_of_femoral_artery,c0013798_electrocardiogram,c0018099_gout,c0019994_hospitals,c0016277_fluconazole,c0013819_electroencephalography
113,c0015811_femur,c0013832_electrolytes,c0018302_guaiac,c0020437_increased_calcium_in_blood,c0016382_flushing,c0013832_electrolytes
114,c0015846_fentanyl,c0013990_pathological_accumulation_of_air_in_tissues,c0018520_bad_breath,c0020456_high_blood_sugar,c0016911_gadolinium,"c0013931_embolization,_therapeutic"
115,c0015967_fever,c0014442_enzymes,c0018681_headaches,c0020473_elevated_lipids_in_blood,c0016976_gallbladder,c0014118_endocarditis
116,c0016202_dropped_arches,c0014563_epinephrine,c0018790_cardiac_arrest,c0020473_hyperlipidemia,c0017145_gastric_varix,c0014563_epinephrine
117,c0016277_fluconazole,c0015028_ethmoid_sinus_structure,c0018834_heartburn,c0020538_hypertensive_disease,c0017168_gastroesophageal_reflux_disease,c0014591_nosebleed
118,c0016382_flushing,c0015259_exercise,c0018926_vomitting_blood,c0020546_hypertensive_crisis,c0017181_gastrointestinal_hemorrhage,c0014834_escherichia_coli
119,c0016410_folic_acid,c0015260_exercise_stress_test,c0018943_hematology_(discipline),c0020615_hypoglycaemia,c0018017_objective_(goal),c0014876_esophagus
120,c0016452_food,c0015264_exertion,"c0018946_hematoma,_subdural",c0020676_hypothyroidism,c0018188_granuloma,c0015028_ethmoid_sinus_structure
121,c0016504_foot,c0015399_eye_drop,c0018946_subdural_haematoma,c0020676_underactive_thyroid,c0018246_inguinal_region,c0015230_exanthema
122,c0016733_frontal_lobe,c0015733_feces,c0019079_haemoptysis,c0020887_structure_of_iliac_artery,c0018670_head,c0015230_rash
123,c0018017_objective_(goal),c0015801_structure_of_femoral_artery,c0019079_hemoptysis,c0021153_decompressive_incision,c0018681_headaches,c0015252_removal_technique
124,c0018099_gout,c0016169_pathologic_fistula,c0019134_heparin,c0021308_infarction,c0018800_cardiomegaly,c0015376_extravasation
125,c0018246_inguinal_region,c0016202_dropped_arches,c0019155_structure_of_hepatic_vein,c0021368_inflammation,c0018808_cardiac_murmurs,c0015397_eye_disease
126,c0018794_heart_block,c0016658_bone_fracture,c0019993_hospitalization,c0021640_insula_of_reil,c0018808_heart_murmur,c0015399_eye_drop
127,c0018808_cardiac_murmurs,c0016911_gadolinium,c0019994_hospitals,c0021708_intensive_care_unit,c0018817_atrial_septal_defects,c0015672_fatigue
128,c0018808_heart_murmur,c0017152_gastritis,c0020255_too_much_cerebrospinal_fluid_in_the_brain,c0021925_intubation,c0018817_atrial_septum_defect,c0015846_fentanyl
129,c0018920_cavernous_hemangioma,c0017168_gastroesophageal_reflux_disease,c0020437_increased_calcium_in_blood,c0022671_kidney_transplantation,c0018827_heart_ventricle,c0015967_fever
130,c0018943_hematology_(discipline),c0017181_gastrointestinal_hemorrhage,c0020440_hypercapnia,c0022860_labetalol,c0018834_heartburn,c0016006_fibrinogen
131,c0018944_hematoma,c0017642_glipizide,c0020456_high_blood_sugar,c0023008_languages,c0018926_vomitting_blood,c0016129_fingers
132,c0018965_blood_in_urine,c0017725_glucose,c0020488_hypernatremia,c0023015_language_disorder,c0018932_hematochezia,c0016202_dropped_arches
133,c0019004_hemodialysis,c0017887_nitroglycerin,c0020542_pulmonary_hypertension,c0023222_leg_pain,c0018943_hematology_(discipline),c0016277_fluconazole
134,c0019079_haemoptysis,c0017979_glycosuria,c0020580_hypoesthesia,c0023380_lethargy,c0018944_hematoma,c0016382_flushing
135,c0019079_hemoptysis,c0018246_inguinal_region,c0020676_hypothyroidism,c0023518_high_white_blood_count,"c0018946_hematoma,_subdural",c0016709_fresh_frozen_plasma
136,c0019134_heparin,c0018302_guaiac,c0020740_ibuprofen,c0023518_leukocytosis,c0018946_subdural_haematoma,c0016911_gadolinium
137,c0019145_hepatic_artery,c0018520_bad_breath,c0020888_iliac_vein,c0024091_bone_structure_of_lumbar_vertebra,c0018965_blood_in_urine,c0016976_gallbladder
138,c0019151_hepatic_encephalopathy,c0018787_heart,c0021153_decompressive_incision,c0024476_magnesium_hydroxide,c0018965_hematuria,c0017145_gastric_varix
139,c0019154_hepatic_venous_thrombosis,c0018790_cardiac_arrest,c0021368_inflammation,c0024730_mannitol,c0018989_hemiparesis,c0017152_gastritis
140,c0019155_structure_of_hepatic_vein,c0018792_heart_atrium,c0021708_intensive_care_unit,c0024858_maryland_(geographic_location),c0018989_weakness_of_one_side_of_body,c0017181_gastrointestinal_hemorrhage
141,c0019158_liver_inflammation,c0018794_heart_block,c0021843_bowel_obstruction,c0025066_mediastinum,c0019080_hemorrhage,c0018017_objective_(goal)
142,c0020223_hydralazine,c0018795_cardiac_catheterization_procedures,c0022660_acute_kidney_failure,c0025598_metformin,c0019134_heparin,c0018302_guaiac
143,c0020295_hydronephrosis,c0018800_cardiomegaly,c0023216_lower_extremity,c0025942_miconazole,c0019145_hepatic_artery,c0018684_health
144,c0020517_hypersensitivity,c0018801_heart_failure,c0023222_leg_pain,c0026264_mitral_valve,c0019151_hepatic_encephalopathy,c0018790_cardiac_arrest
145,c0020625_hyponatremia,c0018802_congestive_heart_failure,c0023226_legal_guardians,c0026266_mitral_regurgitation,c0019155_structure_of_hepatic_vein,c0018802_congestive_heart_failure
146,c0020676_hypothyroidism,c0018802_heart_failure,c0023380_lethargy,c0026266_mitral_valve_insufficiency,c0019270_hernia,c0018808_cardiac_murmurs
147,c0020740_ibuprofen,c0018808_cardiac_murmurs,c0023518_high_white_blood_count,c0026267_mitral_valve_prolapse_syndrome,c0019270_hernias,c0018808_heart_murmur
148,c0020887_structure_of_iliac_artery,c0018808_heart_murmur,c0023518_leukocytosis,c0026649_movement,c0019993_hospitalization,c0018817_atrial_septum_defect
149,c0020889_bone_structure_of_ilium,c0018810_heart_rate,c0024091_bone_structure_of_lumbar_vertebra,c0026650_unusual_movement,c0019994_hospitals,c0018920_cavernous_hemangioma
150,c0021153_decompressive_incision,c0018818_ventricular_septal_defects,c0024103_breast_lump,c0027324_nafcillin,c0020295_hydronephrosis,c0018926_vomitting_blood
151,c0021368_inflammation,c0018820_heart_sounds,c0024109_lung,c0027530_neck,c0020437_increased_calcium_in_blood,c0018932_hematochezia
152,c0021562_inpatient,c0018827_heart_ventricle,c0024117_chronic_obstructive_airway_disease,c0027543_avascular_necrosis,c0020456_high_blood_sugar,c0018935_hematocrit_procedure
153,c0021708_intensive_care_unit,c0018935_hematocrit_procedure,c0024117_copd,c0027853_neurologic_examination,c0020488_hypernatremia,c0018943_hematology_(discipline)
154,c0022116_ischemia,c0018944_hematoma,c0024204_lymph_nodes,c0027855_neurology_speciality,c0020541_portal_hypertension,c0018944_hematoma
155,c0022346_jaundice,"c0018946_hematoma,_subdural",c0024299_lymphoma,c0027858_nerve_tumor,c0020580_hypoesthesia,c0018965_blood_in_urine
156,c0022646_kidney,c0018946_subdural_haematoma,c0024467_magnesium,c0028066_nifedipine,c0020615_hypoglycaemia,c0018965_hematuria
157,c0022660_acute_kidney_failure,c0018965_blood_in_urine,c0024476_magnesium_hydroxide,c0028643_numbness,c0020625_hyponatremia,c0019004_hemodialysis
158,c0022671_kidney_transplantation,c0018965_hematuria,c0025066_mediastinum,c0028661_nurses,c0020676_hypothyroidism,c0019080_hemorrhage
159,c0022860_labetalol,c0019004_hemodialysis,c0025202_malignant_melanoma,c0028738_nystagmus,c0020676_underactive_thyroid,c0019123_hemothorax
160,c0023216_lower_extremity,c0019079_haemoptysis,c0025222_melena,c0028785_occipital_lobe,c0020888_iliac_vein,c0019145_hepatic_artery
161,c0023222_leg_pain,c0019079_hemoptysis,c0025474_mesentery,c0029163_oral_bleeding,c0021153_decompressive_incision,c0019151_hepatic_encephalopathy
162,c0023518_high_white_blood_count,c0020223_hydralazine,c0025598_metformin,c0029180_ocular_orbit,c0021308_infarction,c0019155_structure_of_hepatic_vein
163,c0023518_leukocytosis,c0020255_too_much_cerebrospinal_fluid_in_the_brain,c0025605_methadone,"c0030201_pain,_postoperative",c0021368_inflammation,c0019158_hepatitis
164,c0023764_lipase,c0020295_hydronephrosis,c0025872_metronidazole,c0030560_parietal_lobe,c0021640_insula_of_reil,c0019158_liver_inflammation
165,c0023884_liver,c0020437_increased_calcium_in_blood,c0025942_miconazole,c0031001_perfusion_(procedure),c0021708_intensive_care_unit,c0019169_hepatitis_b_virus
166,c0023899_liver_extract,c0020443_hypercholesterolemia,c0026267_mitral_valve_prolapse_syndrome,c0031256_petechiae,"c0021852_intestines,_small",c0019212_hepatorenal_syndrome
167,c0023901_liver_function_tests,c0020473_elevated_lipids_in_blood,c0026591_mother_(person),c0031507_phenytoin,c0022346_jaundice,c0019993_hospitalization
168,c0023911_transplantation_of_liver,c0020473_hyperlipidemia,c0027324_nafcillin,c0031809_physical_examination,c0022671_kidney_transplantation,c0020223_hydralazine
169,c0024117_copd,c0020517_hypersensitivity,c0027415_narcotics,c0031831_physicians,c0022821_hunched_back,c0020255_too_much_cerebrospinal_fluid_in_the_brain
170,c0024204_lymph_nodes,c0020538_hypertensive_disease,c0027429_nasal_obstruction,c0032227_pleural_effusion_disorder,c0022860_labetalol,c0020295_hydronephrosis
171,c0024467_magnesium,c0020538_systemic_hypertension,c0027497_nausea,c0032285_pneumonia,c0022957_lactulose,c0020437_increased_calcium_in_blood
172,c0025066_mediastinum,c0020615_hypoglycaemia,c0027498_nausea_and_vomiting,c0032290_aspiration_pneumonia,c0023008_languages,c0020456_high_blood_sugar
173,c0025344_menstruation,c0020649_hypotension,c0027524_nebulizers,c0032541_polyneuritis,c0023216_lower_extremity,c0020488_high_blood_sodium_levels
174,c0025467_mesenteric_cyst,c0020676_hypothyroidism,c0027551_needle_device,c0032639_pontine_structure,c0023222_leg_pain,c0020488_hypernatremia
175,c0025474_mesentery,c0021843_bowel_obstruction,c0027627_neoplasm_metastasis,c0032861_powder_dose_form,c0023226_legal_guardians,c0020541_portal_hypertension
176,c0025872_metronidazole,"c0021852_intestines,_small",c0027651_neoplasm,c0033487_propofol,c0023380_lethargy,c0020542_pulmonary_hypertension
177,c0025942_miconazole,c0021925_intubation,c0027651_neoplasms,c0033572_prostate,c0023518_high_white_blood_count,c0020625_hyponatremia
178,c0026264_mitral_valve,c0022116_ischemia,c0028259_nodule,c0034519_electromagnetic_radiation,c0023518_leukocytosis,c0020649_hypotension
179,c0026549_morphine,c0022646_kidney,c0028643_numbness,c0034665_ranitidine,c0023884_liver,c0020672_hypothermia
180,c0026597_motion,c0022660_acute_kidney_failure,c0028661_nurses,c0034771_recanalization,c0023890_cirrhosis,"c0020672_hypothermia,_natural"
181,c0026647_mouthwash,"c0022660_kidney_failure,_acute",c0028754_obesity,c0034929_reflex_action,c0023890_liver_cirrhosis,c0020676_underactive_thyroid
182,c0026847_spinal_muscular_atrophy,"c0022661_kidney_failure,_chronic",c0028778_obstruction,c0034991_rehabilitation_therapy,c0023895_liver_disease,c0020740_ibuprofen
183,c0027361_persons,c0022821_hunched_back,c0028978_omeprazole,c0035065_structure_of_renal_artery,c0023899_liver_extract,c0021153_decompressive_incision
